"","Type.of.feeding.interaction","Life.stage","Location","Intercept","Slope.Regression","R.Squared","F-statistic","P-value"
"174","piscivorous","adult","Greenland","2.25715","0.44632","0.36086","1179.43696","2.57239252512325e-205"
"175","piscivorous","adult","Eastern Mediterranean","1.23512","0.65201","0.62138","205.14281","3.90742334690301e-28"
"176","piscivorous","juvenile","Apalachicola Bay, Florida","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"177","piscivorous","juvenile","Crooked Island Sound, Florida","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"178","piscivorous","juvenile","Gulf of Alaska","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"179","piscivorous","juvenile","Jeffreys Ledge, Gulf of Maine, New England","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"180","piscivorous","juvenile","Stellwagen Bank, Gulf of Maine, New England","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"181","piscivorous","juvenile","Cape Cod Bay, Gulf of Maine, New England","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"182","piscivorous","juvenile","Great Channel South, Gulf of Maine, New England","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"183","piscivorous","juvenile","South of Marthas Vineyard, New England","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"184","piscivorous","juvenile","Gulf of Maine, New England","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"185","piscivorous","juvenile","Andaman Sea (West of South Thailand)","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"186","piscivorous","juvenile","Mid Atlantic","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"187","piscivorous","juvenile","NE North Sea and Skaggerak","3.30831","0.25543","0.06221","1.79118","0.191944478653283"
"188","piscivorous","juvenile","W Greenland","0.55524","0.70912","0.6204","31.05239","2.25023100017493e-05"
"189","piscivorous","juvenile","French Polynesian EEZ","0.55524","0.70912","0.6204","31.05239","2.25023100017493e-05"
"190","piscivorous","juvenile","Catalan Sea","0.55524","0.70912","0.6204","31.05239","2.25023100017493e-05"
"191","piscivorous","juvenile","Western North Pacific","0.55524","0.70912","0.6204","31.05239","2.25023100017493e-05"
"192","piscivorous","juvenile","Atlantic Ocean","0.55524","0.70912","0.6204","31.05239","2.25023100017493e-05"
"193","piscivorous","juvenile","Off the Bay of Biscay","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"194","piscivorous","juvenile","Great South Bay, Long Island, New York","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"195","piscivorous","juvenile","Strait of Georgia","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"196","piscivorous","juvenile","Europe, Celtic Sea ecosystem","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"197","piscivorous","juvenile","Antarctic Peninsula","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"198","piscivorous","juvenile","Oxwich Bay, Wales","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"199","piscivorous","juvenile","Greenland","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"200","piscivorous","juvenile","Eastern Mediterranean","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"201","piscivorous","larva","Apalachicola Bay, Florida","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"202","piscivorous","larva","Crooked Island Sound, Florida","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"203","piscivorous","larva","Gulf of Alaska","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"204","piscivorous","larva","Jeffreys Ledge, Gulf of Maine, New England","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"205","piscivorous","larva","Stellwagen Bank, Gulf of Maine, New England","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
"206","piscivorous","larva","Cape Cod Bay, Gulf of Maine, New England","3.74507","0","0.50052","2983.1714","6.558032824122e-06"
